iter	Passed	Remaining
677	795	377
678	796	376
679	797	375
680	798	374
681	799	372
682	800	371
683	801	370
684	802	369
685	803	367
686	804	366
687	805	365
688	805	363
689	806	362
690	807	361
691	808	359
692	809	358
693	810	357
694	811	356
695	812	354
696	813	353
697	814	352
698	815	351
699	816	350
700	817	348
701	818	347
702	819	346
703	819	344
704	820	343
705	821	341
706	821	340
707	822	339
708	823	338
709	824	336
710	826	335
711	827	334
712	828	333
713	829	332
714	830	330
715	830	329
716	831	328
717	832	327
718	833	325
719	834	324
720	834	323
721	835	321
722	836	320
723	836	319
724	837	317
725	838	316
726	839	315
727	841	314
728	842	313
729	843	311
730	844	310
731	845	309
732	845	308
733	846	306
734	847	305
735	848	304
736	849	303
737	850	301
738	850	300
739	851	299
740	852	297
741	853	296
742	854	295
743	855	294
744	856	293
745	857	291
746	858	290
747	858	289
748	859	288
749	860	286
750	861	285
751	863	284
752	864	283
753	865	282
754	865	281
755	866	279
756	868	278
757	869	277
758	870	276
759	871	275
760	872	274
761	873	272
762	874	271
763	875	270
764	875	269
765	876	267
766	877	266
767	878	265
768	879	264
769	879	262
770	880	261
771	881	260
772	882	259
773	884	258
774	885	256
775	886	255
776	887	254
777	888	253
778	889	252
779	889	251
780	891	249
781	891	248
782	892	247
783	893	246
784	894	244
785	895	243
786	896	242
787	897	241
788	899	240
789	900	239
790	901	238
791	902	237
792	903	235
793	904	234
794	905	233
795	906	232
796	907	231
797	908	229
798	908	228
799	909	227
800	910	226
801	912	225
802	913	224
803	914	223
804	916	221
805	917	220
806	918	219
807	919	218
808	920	217
809	920	216
810	921	214
811	922	213
812	923	212
813	924	211
814	924	209
815	926	208
816	927	207
817	928	206
818	929	205
819	930	204
820	931	203
821	932	202
822	934	200
823	934	199
824	935	198
825	936	197
826	937	196
827	939	195
828	939	193
829	941	192
830	942	191
831	943	190
832	945	189
833	946	188
834	947	187
835	948	186
836	949	184
837	950	183
838	951	182
839	952	181
840	953	180
841	954	179
842	955	178
843	957	176
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	963	170
850	964	168
851	965	167
852	966	166
853	967	165
854	968	164
855	969	163
856	970	161
857	971	160
858	972	159
859	974	158
860	975	157
861	976	156
862	976	155
863	977	153
864	978	152
865	979	151
866	980	150
867	982	149
868	983	148
869	984	147
870	985	146
871	987	144
872	987	143
873	988	142
874	990	141
875	990	140
876	991	139
877	992	137
878	993	136
879	994	135
880	994	134
881	995	133
882	996	132
883	997	130
884	998	129
885	999	128
886	1000	127
887	1001	126
888	1002	125
889	1002	123
890	1003	122
891	1004	121
892	1005	120
893	1005	119
894	1006	118
895	1007	116
896	1008	115
897	1008	114
898	1009	113
899	1010	112
900	1011	111
901	1011	109
902	1012	108
903	1013	107
904	1014	106
905	1014	105
906	1015	104
907	1016	103
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1023	95
915	1024	93
916	1025	92
917	1026	91
918	1026	90
919	1027	89
920	1028	88
921	1029	87
922	1030	85
923	1031	84
924	1032	83
925	1033	82
926	1034	81
927	1035	80
928	1036	79
929	1036	78
930	1037	76
931	1049	76
932	1051	75
933	1052	74
934	1054	73
935	1063	72
936	1065	71
937	1067	70
938	1072	69
939	1076	68
940	1078	67
941	1079	66
942	1081	65
943	1082	64
944	1088	63
945	1089	62
946	1093	61
947	1096	60
948	1097	59
949	1098	57
950	1099	56
951	1100	55
952	1101	54
953	1102	53
954	1103	51
955	1104	50
956	1105	49
957	1106	48
958	1107	47
959	1108	46
960	1109	45
961	1110	43
962	1111	42
963	1111	41
964	1112	40
965	1113	39
966	1114	38
967	1114	36
968	1115	35
969	1116	34
970	1117	33
971	1118	32
972	1120	31
973	1122	29
974	1123	28
975	1124	27
976	1125	26
977	1126	25
978	1127	24
979	1128	23
980	1129	21
981	1129	20
982	1130	19
983	1131	18
984	1133	17
985	1133	16
986	1134	14
987	1135	13
988	1137	12
989	1138	11
990	1139	10
991	1140	9
992	1141	8
993	1142	6
994	1143	5
995	1144	4
996	1147	3
997	1148	2
998	1149	1
999	1151	0
